name,type,attack,defense,image
Dark Magician,Monster,2500,2100,https://s3.duellinksmeta.com/cards/60c2b3aaa0e24f2d54a51c30_w360.webp
Blue-Eyes White Dragon,Monster,3000,2500, https://s3.duellinksmeta.com/cards/60c2b3a9a0e24f2d54a5179e_w360.webp
Red-eyes Black Dragon,Monster,2400,2000, https://s3.duellinksmeta.com/cards/60c2b3aca0e24f2d54a53317_w360.webp
Summoned Skull, Fiend,Monster,2500,1200, https://s3.duellinksmeta.com/cards/60c2b3aca0e24f2d54a5383f_w360.webp
Dragon Polvo de Estrellas,Monster,2500,2000, https://s3.duellinksmeta.com/cards/60c2b3aca0e24f2d54a537a2_w360.webp
Dragon de las Rosas Negras, Monster,2400,1800, https://s3.duellinksmeta.com/cards/60c2b3a9a0e24f2d54a51704_w360.webp
Raigeki, Spell,Normal, https://s3.duellinksmeta.com/cards/60c2b3aca0e24f2d54a5328d_w360.webp
Mirror Force, Trap,Normal, https://s3.duellinksmeta.com/cards/60c2b3aba0e24f2d54a52cb2_w360.webp
Magic Cylender, Trap,Normal, https://s3.duellinksmeta.com/cards/60c2b3aba0e24f2d54a52a74_w360.webp
Obelisco El Atormentador ,Monster, 4000,4000, https://s3.duellinksmeta.com/cards/60c2b3aba0e24f2d54a52f24_w360.webp
Blue-eyes Chaos Max Dragon,Monster,4000,0, https://s3.duellinksmeta.com/cards/60c2b3a9a0e24f2d54a5178e_w360.webp
